id,title,price,rating,availability,category,image_url,product_page_url
221,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/e3/d5/e3d59328474571d53aad7d07144e2ef0.jpg,https://books.toscrape.com/catalogue/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html
222,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/96/6f/966f1fe13d231041bb516c281a675646.jpg,https://books.toscrape.com/catalogue/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html
223,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/3e/61/3e611e2228ffe66b05f202cd3da0359c.jpg,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
224,Walt Disney's Alice in Wonderland,12.96,5,In stock (14 available),Childrens,https://books.toscrape.com/media/cache/0f/65/0f65a1f2a3705c67b3d2a787ab3e8b99.jpg,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html
225,V for Vendetta (V for Vendetta Complete),37.1,4,In stock (14 available),Default,https://books.toscrape.com/media/cache/9d/3f/9d3f79bdbfe9a9caea353627b6685699.jpg,https://books.toscrape.com/catalogue/v-for-vendetta-v-for-vendetta-complete_776/index.html
226,Until Friday Night (The Field Party #1),46.31,2,In stock (14 available),Young Adult,https://books.toscrape.com/media/cache/e1/24/e1249f72129bd4b788ffd0cdd7834c24.jpg,https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html
227,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,In stock (14 available),Default,https://books.toscrape.com/media/cache/e6/95/e6956bac63c9e1e6df6dac4db3a0ec0d.jpg,https://books.toscrape.com/catalogue/unbroken-a-world-war-ii-story-of-survival-resilience-and-redemption_774/index.html
228,Twenty Yawns,22.08,2,In stock (14 available),Childrens,https://books.toscrape.com/media/cache/40/d7/40d7f9433c2f23370659c925a45fdcad.jpg,https://books.toscrape.com/catalogue/twenty-yawns_773/index.html
229,Through the Woods,25.38,2,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/ac/07/ac07aa5cfd42e6192bb801a749263bba.jpg,https://books.toscrape.com/catalogue/through-the-woods_772/index.html
230,This Is Where It Ends,27.12,2,In stock (14 available),Young Adult,https://books.toscrape.com/media/cache/8e/dc/8edc314a67ed5ddad7bd0a2f30ad3238.jpg,https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html
231,The Year of Magical Thinking,43.04,2,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/06/2a/062af372ae666a16fa7e67ced2d1187c.jpg,https://books.toscrape.com/catalogue/the-year-of-magical-thinking_770/index.html
232,The Wright Brothers,56.8,4,In stock (14 available),Default,https://books.toscrape.com/media/cache/51/98/51985c3a61a47b8de85239b9e3b2a938.jpg,https://books.toscrape.com/catalogue/the-wright-brothers_769/index.html
233,The White Queen (The Cousins' War #1),25.91,5,In stock (14 available),Add a comment,https://books.toscrape.com/media/cache/11/40/11400b5532ad710359584a68db50f33c.jpg,https://books.toscrape.com/catalogue/the-white-queen-the-cousins-war-1_768/index.html
234,The Wedding Pact (The O'Malleys #2),32.61,3,In stock (14 available),Romance,https://books.toscrape.com/media/cache/21/53/21539e305aa09ec40b36daa43db3f2fe.jpg,https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html
235,The Time Keeper,27.88,5,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html
236,The Testament of Mary,52.67,4,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/06/a6/06a62270c0700ae3c537cf394cf145ee.jpg,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html
237,The Star-Touched Queen,46.02,5,In stock (14 available),Fantasy,https://books.toscrape.com/media/cache/ac/1a/ac1a0546d9cdf6cd82ab7712a6c418df.jpg,https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html
238,The Songs of the Gods,44.48,5,In stock (14 available),Default,https://books.toscrape.com/media/cache/08/ad/08add5c58ff717da1b00d5dda3f7c637.jpg,https://books.toscrape.com/catalogue/the-songs-of-the-gods_763/index.html
239,The Song of Achilles,37.4,5,In stock (14 available),Add a comment,https://books.toscrape.com/media/cache/4e/56/4e56783b21a3a5c73e32e59241a351ac.jpg,https://books.toscrape.com/catalogue/the-song-of-achilles_762/index.html
240,The Rosie Project (Don Tillman #1),54.04,1,In stock (14 available),Default,https://books.toscrape.com/media/cache/45/db/45db8e5d17ac3683cce97977d162dc94.jpg,https://books.toscrape.com/catalogue/the-rosie-project-don-tillman-1_761/index.html
241,The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,In stock (14 available),Default,https://books.toscrape.com/media/cache/03/be/03beffe578a7839374f7060639ce914d.jpg,https://books.toscrape.com/catalogue/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html
242,The Marriage of Opposites,28.08,4,In stock (14 available),Historical Fiction,https://books.toscrape.com/media/cache/33/8e/338e196723f3fb10d5c6990fe54be61d.jpg,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
243,The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,In stock (14 available),Psychology,https://books.toscrape.com/media/cache/4b/2a/4b2a574e8382dcac92d046d30d2c27fc.jpg,https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html
244,The Long Haul (Diary of a Wimpy Kid #9),44.07,1,In stock (14 available),Humor,https://books.toscrape.com/media/cache/b1/e6/b1e6c747381261cd6e60ac9d350c4bab.jpg,https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html
245,The Loney,23.4,1,In stock (14 available),Horror,https://books.toscrape.com/media/cache/84/cc/84cc7f93a8c6c766a6297a23227e68e8.jpg,https://books.toscrape.com/catalogue/the-loney_756/index.html
246,The Literature Book (Big Ideas Simply Explained),17.43,3,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/b7/95/b79552e4f08ebad6516f6ddefbb7bd92.jpg,https://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html
247,The Last Mile (Amos Decker #2),54.21,2,In stock (14 available),Mystery,https://books.toscrape.com/media/cache/e6/dc/e6dcc8f75214eb14edc1ce09c98f3d71.jpg,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
248,The Immortal Life of Henrietta Lacks,40.67,2,In stock (14 available),Add a comment,https://books.toscrape.com/media/cache/92/4d/924d855a0ad5774410b0bb7c71afa788.jpg,https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html
249,The Hidden Oracle (The Trials of Apollo #1),52.26,2,In stock (14 available),Fantasy,https://books.toscrape.com/media/cache/7c/55/7c550a26f03e12343d0c6b4474b3eb1e.jpg,https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html
250,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,In stock (14 available),Food and Drink,https://books.toscrape.com/media/cache/bc/eb/bceb609c54f7739682b319a27a5b9783.jpg,https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html
251,The Guilty (Will Robie #4),13.82,2,In stock (14 available),Thriller,https://books.toscrape.com/media/cache/7f/fd/7ffdc9c4b7bf965990c59460da9b66b7.jpg,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html
252,The First Hostage (J.B. Collins #2),25.85,3,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/81/3e/813e1d11126330de52d9368e78d116cc.jpg,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
253,The Dovekeepers,48.78,1,In stock (14 available),Add a comment,https://books.toscrape.com/media/cache/24/86/248641d1d03b4dbfe3a7db4e20552973.jpg,https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html
254,The Darkest Lie,35.35,5,In stock (14 available),Young Adult,https://books.toscrape.com/media/cache/3b/6a/3b6ae7b1d7736819f4f44605441e283e.jpg,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html
255,The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,In stock (14 available),Fantasy,https://books.toscrape.com/media/cache/e9/fe/e9fed5b725a6badd26ef93175fdc248b.jpg,https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html
256,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/c4/d7/c4d78673f6228b246d5d547c29eaa58b.jpg,https://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html
257,The 14th Colony (Cotton Malone #11),39.24,1,In stock (14 available),Thriller,https://books.toscrape.com/media/cache/5b/3e/5b3e36ce7c82e9dd8b416a23531c0121.jpg,https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html
258,That Darkness (Gardiner and Renner #1),13.92,1,In stock (14 available),Mystery,https://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
259,Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock (14 available),Mystery,https://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
260,Take Me with You,45.21,3,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html
261,Swell: A Year of Waves,45.58,1,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/7d/a6/7da658ca2d3fce1a9958fb754a179ba8.jpg,https://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html
262,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/31/32/3132ce8535ec612bf8588a5bc62998d4.jpg,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
263,Still Life with Bread Crumbs,26.41,3,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/a3/eb/a3ebe1ca5df0d3ff3e3d2b8fb8b2a551.jpg,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html
264,Steve Jobs,39.5,5,In stock (14 available),Default,https://books.toscrape.com/media/cache/70/a4/70a49dbcdbbdbc8b7264d254d8197ecd.jpg,https://books.toscrape.com/catalogue/steve-jobs_737/index.html
265,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,In stock (14 available),Science,https://books.toscrape.com/media/cache/5d/a5/5da545b9d44464af8b3d0a9511a050ca.jpg,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html
266,Someone Like You (The Harrisons #2),52.79,5,In stock (14 available),Contemporary,https://books.toscrape.com/media/cache/03/67/03672d82cd257167775d88568d2cce38.jpg,https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html
267,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/53/ea/53ead08572cc44510da38edf559722d1.jpg,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
268,Shtum,55.84,4,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/63/62/63623a0b014b1f26e49aa61786e6e708.jpg,https://books.toscrape.com/catalogue/shtum_733/index.html
269,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock (14 available),Travel,https://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
270,salt.,46.78,4,In stock (14 available),Poetry,https://books.toscrape.com/media/cache/c9/92/c9924f9637aef6d9fc8e165be62f69ee.jpg,https://books.toscrape.com/catalogue/salt_731/index.html
271,Robin War,47.82,3,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/08/e3/08e3fff11713d162620c920a2574e149.jpg,https://books.toscrape.com/catalogue/robin-war_730/index.html
272,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/7a/23/7a2319e460168eff8d91828ff380849c.jpg,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
273,Rain Fish,23.57,3,In stock (14 available),Childrens,https://books.toscrape.com/media/cache/ea/1f/ea1f22fa3179f3f84fbadd24fe89a1fd.jpg,https://books.toscrape.com/catalogue/rain-fish_728/index.html
274,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,In stock (14 available),Poetry,https://books.toscrape.com/media/cache/68/92/68922093080c377fa521ba64d8d372e1.jpg,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html
275,Pet Sematary,10.56,3,In stock (14 available),Horror,https://books.toscrape.com/media/cache/99/ef/99ef2f3987ee016bdd120a4579ef98f5.jpg,https://books.toscrape.com/catalogue/pet-sematary_726/index.html
276,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,In stock (14 available),Self Help,https://books.toscrape.com/media/cache/7f/6b/7f6bfd0fc24b974b4d7721899e93aa2c.jpg,https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html
277,Once Was a Time,18.28,2,In stock (14 available),Childrens,https://books.toscrape.com/media/cache/e6/5e/e65e45701ce6d2da8c5cf31d6208ff02.jpg,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html
278,Old School (Diary of a Wimpy Kid #10),11.83,5,In stock (14 available),Humor,https://books.toscrape.com/media/cache/55/82/5582626cb185a8eb2914c15d5287afbd.jpg,https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html
279,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/c6/e5/c6e596ddbcd5d5f448d1bae14f2e09d3.jpg,https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html
280,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/0b/b8/0bb8bd42d6b58c7966ba67472a55f905.jpg,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
281,My Name Is Lucy Barton,41.56,1,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/28/db/28db43984c765a1d02fd3495f5c52eb6.jpg,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
282,My Mrs. Brown,24.48,3,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/2d/a3/2da3464fa2010bebedfba9eca77e42be.jpg,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
283,My Kind of Crazy,40.36,1,In stock (14 available),Young Adult,https://books.toscrape.com/media/cache/2b/38/2b38dc9b90299a9755fb15bed3293342.jpg,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html
284,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/65/7f/657f9a3b7c0579c7fa499dddddd59422.jpg,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
285,More Than Music (Chasing the Dream #1),37.61,2,In stock (14 available),Add a comment,https://books.toscrape.com/media/cache/e7/00/e7000cd6975d8932b9178de9386b944d.jpg,https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html
286,Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,In stock (14 available),Business,https://books.toscrape.com/media/cache/1e/3e/1e3e1572e17ade03b21c44617fbc4d68.jpg,https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html
287,Luis Paints the World,53.95,3,In stock (14 available),Childrens,https://books.toscrape.com/media/cache/34/1e/341e9af2106811a4ca8e56ce92762580.jpg,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html
288,Luckiest Girl Alive,49.83,3,In stock (14 available),Default,https://books.toscrape.com/media/cache/2d/61/2d6124f9d5328469e7ce5e4c04326ca5.jpg,https://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html
289,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/30/d0/30d033fe3d7be21522498ce2b30d58d6.jpg,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
290,Love Is a Mix Tape (Music #1),18.03,1,In stock (14 available),Music,https://books.toscrape.com/media/cache/b2/43/b2430e3958014d962042a14a912151ac.jpg,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html
291,Looking for Lovely: Collecting the Moments that Matter,29.14,5,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/f8/c7/f8c761844f257fed04cce95f9506cba4.jpg,https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html
292,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,In stock (14 available),Default,https://books.toscrape.com/media/cache/b3/20/b3201b03b2fd03915b1f85522be971af.jpg,https://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html
293,Let It Out: A Journey Through Journaling,26.79,5,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/2c/15/2c157b05b7b7014be2a05a5bdeca80e7.jpg,https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html
294,Lady Midnight (The Dark Artifices #1),16.28,5,In stock (14 available),Default,https://books.toscrape.com/media/cache/bb/80/bb80ecf408c9ecf1cc3652fa8947d245.jpg,https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html
295,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,In stock (14 available),Food and Drink,https://books.toscrape.com/media/cache/38/08/380869ceca4ab70f8620b02187bdf60a.jpg,https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html
296,Island of Dragons (Unwanteds #7),29.65,1,In stock (14 available),Fantasy,https://books.toscrape.com/media/cache/0f/65/0f6563cce3cc893cde20b088f6fd4107.jpg,https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html
297,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,In stock (14 available),Humor,https://books.toscrape.com/media/cache/04/ab/04ab560690b2383512d2fdf4c6366b1e.jpg,https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html
298,I Am Pilgrim (Pilgrim #1),10.6,4,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/8d/a3/8da36f821f35b795a3a420c84ca9737e.jpg,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
299,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock (14 available),Humor,https://books.toscrape.com/media/cache/25/1d/251df0eb9b321159b0ee348d4a9da2af.jpg,https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html
300,"Hush, Hush (Hush, Hush #1)",47.02,3,In stock (14 available),Default,https://books.toscrape.com/media/cache/0d/e9/0de97404e7bbd00d7aa6cd429b0de1da.jpg,https://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html
301,Hold Your Breath (Search and Rescue #1),28.82,1,In stock (14 available),Romance,https://books.toscrape.com/media/cache/3d/4d/3d4d8e92429144f6c807adc4b15b7f80.jpg,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
302,Hamilton: The Revolution,58.79,3,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/03/1f/031f508a4a8ef70743ea7e9d4f598d38.jpg,https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html
303,Greek Mythic History,10.23,5,In stock (14 available),Default,https://books.toscrape.com/media/cache/b0/45/b04568c8b10a2aef00eaecafefac7ee0.jpg,https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html
304,God: The Most Unpleasant Character in All Fiction,30.03,5,In stock (14 available),Religion,https://books.toscrape.com/media/cache/41/d8/41d8915a712c2a56f1c5182c11445551.jpg,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html
305,Glory over Everything: Beyond The Kitchen House,45.84,3,In stock (14 available),Historical Fiction,https://books.toscrape.com/media/cache/06/ac/06ac98df817412ce2419c4509fa98c80.jpg,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
306,Feathers: Displays of Brilliant Plumage,49.05,3,In stock (14 available),Art,https://books.toscrape.com/media/cache/0a/d4/0ad48326a0d2dbda145c94e1d50ef673.jpg,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html
307,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/65/c4/65c4530fe298242e8b64c9ab8dd0c2d6.jpg,https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
308,Every Last Word,46.47,3,In stock (14 available),Default,https://books.toscrape.com/media/cache/c8/2d/c82df316ba150c761cd0b42b05930697.jpg,https://books.toscrape.com/catalogue/every-last-word_693/index.html
309,Eligible (The Austen Project #4),27.09,3,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/0a/9a/0a9a0b211bee87b544bd97a8320a0b73.jpg,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html
310,El Deafo,57.62,5,In stock (14 available),Sequential Art,https://books.toscrape.com/media/cache/95/4b/954b63f24b0e4c1c5ce494b33f694b73.jpg,https://books.toscrape.com/catalogue/el-deafo_691/index.html
311,Eight Hundred Grapes,14.39,4,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/5b/34/5b34d6d54467af2d5e44a5f91031adf2.jpg,https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
312,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,In stock (14 available),Nonfiction,https://books.toscrape.com/media/cache/8e/93/8e93f7095bcb98006b620dae07ef5514.jpg,https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html
313,"Eat Fat, Get Thin",54.07,2,In stock (14 available),Health,https://books.toscrape.com/media/cache/a7/6b/a76b04d5de0b2f8f038c9ac27f4d2a42.jpg,https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html
314,Don't Get Caught,55.35,1,In stock (14 available),Young Adult,https://books.toscrape.com/media/cache/78/11/78112d48a74583a7acc24a2b46a9f59d.jpg,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html
315,Doctor Sleep (The Shining #2),40.12,2,In stock (14 available),Horror,https://books.toscrape.com/media/cache/30/05/30053f9d8549febc67059c52fca65744.jpg,https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html
316,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,In stock (14 available),Fantasy,https://books.toscrape.com/media/cache/b7/d5/b7d558f31dc9803aeb6c76009fdea5bc.jpg,https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html
317,Dear Mr. Knightley,11.21,5,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/e1/8d/e18dc724d16d7501dcaaa56bdb49c16d.jpg,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
318,Daily Fantasy Sports,36.58,1,In stock (14 available),Default,https://books.toscrape.com/media/cache/f6/65/f6656d023fae1a6219bbe85219d59fd2.jpg,https://books.toscrape.com/catalogue/daily-fantasy-sports_683/index.html
319,Crazy Love: Overwhelmed by a Relentless God,47.72,2,In stock (14 available),Christian,https://books.toscrape.com/media/cache/5d/34/5d344393618369df3f560e018b1d9853.jpg,https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html
320,Cometh the Hour (The Clifton Chronicles #6),25.01,3,In stock (14 available),Fiction,https://books.toscrape.com/media/cache/a0/f6/a0f6ff77c5f4604f88b1c74bbf669995.jpg,https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
321,Code Name Verity (Code Name Verity #1),22.13,4,In stock (14 available),Add a comment,https://books.toscrape.com/media/cache/65/9a/659ada7d88e3bda8db70f7e5312a39e2.jpg,https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html
322,Clockwork Angel (The Infernal Devices #1),44.14,1,In stock (14 available),Default,https://books.toscrape.com/media/cache/2f/9f/2f9ff4e4be85da448b02108171b54c3b.jpg,https://books.toscrape.com/catalogue/clockwork-angel-the-infernal-devices-1_679/index.html
323,City of Glass (The Mortal Instruments #3),56.02,4,In stock (14 available),Fantasy,https://books.toscrape.com/media/cache/10/66/106624e3f3bf865390255be16dfb71d8.jpg,https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html
324,City of Fallen Angels (The Mortal Instruments #4),11.23,4,In stock (14 available),Default,https://books.toscrape.com/media/cache/21/46/2146903b83225c6a74b42a0f19a54e5d.jpg,https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html
325,City of Bones (The Mortal Instruments #1),43.28,1,In stock (14 available),Default,https://books.toscrape.com/media/cache/7e/98/7e987ded586edb92faf57a0af78f1498.jpg,https://books.toscrape.com/catalogue/city-of-bones-the-mortal-instruments-1_676/index.html
326,City of Ashes (The Mortal Instruments #2),47.27,1,In stock (14 available),Default,https://books.toscrape.com/media/cache/f0/90/f090a59e89a8d38bb1bcdc2137b18262.jpg,https://books.toscrape.com/catalogue/city-of-ashes-the-mortal-instruments-2_675/index.html
327,Cell,20.29,4,In stock (14 available),Add a comment,https://books.toscrape.com/media/cache/03/da/03da11f81eda5e742df8a39e90c21c70.jpg,https://books.toscrape.com/catalogue/cell_674/index.html
328,Catching Jordan (Hundred Oaks),50.83,3,In stock (14 available),Young Adult,https://books.toscrape.com/media/cache/f4/8b/f48b76634af0040d4eea1ee896d3676b.jpg,https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html
